,Team,2015 Def Tot Pts,2015 Def Pts/G,2015 Def RushYds,2015 Def RYds/G,2015 Def PassYds,2015 Def PYds/G,2015 Def TotYds,2015 Def Yds/G
4,Arizona CardinalsArizona,313,19.6,1460,91.2,3687,230.4,5147,321.7
15,Atlanta FalconsAtlanta,345,21.6,1680,105.0,3882,242.6,5562,347.6
7,Baltimore RavensBaltimore,401,25.1,1661,103.8,3737,233.6,5398,337.4
18,Buffalo BillsBuffalo,359,22.4,1730,108.1,3972,248.2,5702,356.4
5,Carolina PanthersCarolina,308,19.2,1415,88.4,3752,234.5,5167,322.9
13,Chicago BearsChicago,397,24.8,1934,120.9,3593,224.6,5527,345.4
10,Cincinnati BengalsCincinnati,279,17.4,1477,92.3,3976,248.5,5453,340.8
26,Cleveland BrownsCleveland,432,27.0,2055,128.4,4012,250.8,6067,379.2
16,Dallas CowboysDallas,374,23.4,1934,120.9,3632,227.0,5566,347.9
0,Denver BroncosDenver,296,18.5,1337,83.6,3193,199.6,4530,283.1
17,Detroit LionsDetroit,400,25.0,1808,113.0,3786,236.6,5594,349.6
14,Green Bay PackersGreen Bay,323,20.2,1905,119.1,3642,227.6,5547,346.7
2,Houston TexansHouston,313,19.6,1597,99.8,3366,210.4,4963,310.2
25,Indianapolis ColtsIndianapolis,408,25.5,1952,122.0,4114,257.1,6066,379.1
23,Jacksonville JaguarsJacksonville,448,28.0,1709,106.8,4291,268.2,6000,375.0
6,Kansas City ChiefsKansas City,287,17.9,1571,98.2,3698,231.1,5269,329.3
24,Miami DolphinsMiami,389,24.3,2019,126.2,4000,250.0,6019,376.2
12,Minnesota VikingsMinnesota,302,18.9,1748,109.2,3759,234.9,5507,344.2
8,New England PatriotsNew England,315,19.7,1580,98.8,3851,240.7,5431,339.4
30,New Orleans SaintsNew Orleans,476,29.8,2071,129.4,4544,284.0,6615,413.4
31,New York GiantsNY Giants,442,27.6,1942,121.4,4783,298.9,6725,420.3
3,New York JetsNY Jets,314,19.6,1335,83.4,3763,235.2,5098,318.6
21,Oakland RaidersOakland,399,24.9,1678,104.9,4140,258.8,5818,363.6
29,Philadelphia EaglesPhiladelphia,430,26.9,2153,134.6,4273,267.1,6426,401.6
20,Pittsburgh SteelersPittsburgh,319,19.9,1459,91.2,4350,271.9,5809,363.1
19,San Diego ChargersSan Diego,398,24.9,2005,125.3,3786,236.6,5791,361.9
28,San Francisco 49ersSan Francisco,387,24.2,2020,126.2,4179,261.2,6199,387.4
1,Seattle SeahawksSeattle,277,17.3,1304,81.5,3364,210.2,4668,291.8
22,St. Louis RamsSt. Louis,330,20.6,1820,113.8,4065,254.1,5885,367.8
9,Tampa Bay BuccaneersTampa Bay,417,26.1,1606,100.4,3840,240.0,5446,340.4
11,Tennessee TitansTennessee,423,26.4,1797,112.3,3678,229.9,5475,342.2
27,Washington RedskinsWashington,379,23.7,1962,122.6,4128,258.0,6090,380.6
